ሁጩ	U+1201 U+1329
ሁጪ	U+1201 U+132A
ሁጫ	U+1201 U+132B
ሁጬ	U+1201 U+132C
ሁጭ	U+1201 U+132D
ሁጮ	U+1201 U+132E
ሁጯ	U+1201 U+132F
ሁጳ	U+1201 U+1333
ሁጵ	U+1201 U+1335
ሁጷ	U+1201 U+1337
ሁጻ	U+1201 U+133B
ሁጿ	U+1201 U+133F
ሁፀ	U+1201 U+1340
ሁፁ	U+1201 U+1341
ሁፂ	U+1201 U+1342
ሁፃ	U+1201 U+1343
ሁፄ	U+1201 U+1344
ሁፅ	U+1201 U+1345
ሁፇ	U+1201 U+1347
ሁፈ	U+1201 U+1348
ሁፉ	U+1201 U+1349
ሁፊ	U+1201 U+134A
ሁፋ	U+1201 U+134B
ሁፌ	U+1201 U+134C
ሁፍ	U+1201 U+134D
ሁፎ	U+1201 U+134E
ሁፏ	U+1201 U+134F
ሁፐ	U+1201 U+1350
ሁፑ	U+1201 U+1351
ሁፒ	U+1201 U+1352
ሁፔ	U+1201 U+1354
ሁፕ	U+1201 U+1355
ሁፖ	U+1201 U+1356
ሁፘ	U+1201 U+1358
ሁፙ	U+1201 U+1359
ሁፚ	U+1201 U+135A
ሁ፡	U+1201 U+1361
ሁ፣	U+1201 U+1363
ሁᎀ	U+1201 U+1380
ሁᎁ	U+1201 U+1381
ሁᎂ	U+1201 U+1382
ሁᎃ	U+1201 U+1383
ሁᎄ	U+1201 U+1384
ሁᎅ	U+1201 U+1385
ሁᎆ	U+1201 U+1386
ሁᎇ	U+1201 U+1387
ሁᎈ	U+1201 U+1388
ሁᎉ	U+1201 U+1389
ሁᎊ	U+1201 U+138A
ሁᎋ	U+1201 U+138B
ሁᎌ	U+1201 U+138C
ሁᎍ	U+1201 U+138D
ሁᎏ	U+1201 U+138F
ሁⶀ	U+1201 U+2D80
ሁⶁ	U+1201 U+2D81
ሁⶂ	U+1201 U+2D82
ሁⶃ	U+1201 U+2D83
ሁⶄ	U+1201 U+2D84
ሁⶅ	U+1201 U+2D85
ሁⶆ	U+1201 U+2D86
ሁⶇ	U+1201 U+2D87
ሁⶉ	U+1201 U+2D89
ሁⶊ	U+1201 U+2D8A
ሁⶋ	U+1201 U+2D8B
ሁⶌ	U+1201 U+2D8C
ሁⶍ	U+1201 U+2D8D
ሁⶎ	U+1201 U+2D8E
ሁⶏ	U+1201 U+2D8F
ሁⶐ	U+1201 U+2D90
ሁⶑ	U+1201 U+2D91
ሁⶒ	U+1201 U+2D92
ሁⶓ	U+1201 U+2D93
ሁⶔ	U+1201 U+2D94
ሁⶕ	U+1201 U+2D95
ሁⶖ	U+1201 U+2D96
ሁⶠ	U+1201 U+2DA0
ሁⶡ	U+1201 U+2DA1
ሁⶢ	U+1201 U+2DA2
ሁⶣ	U+1201 U+2DA3
ሁⶤ	U+1201 U+2DA4
ሁⶥ	U+1201 U+2DA5
ሁⶦ	U+1201 U+2DA6
ሁⶨ	U+1201 U+2DA8
ሁⶩ	U+1201 U+2DA9
ሁⶪ	U+1201 U+2DAA
ሁⶬ	U+1201 U+2DAC
ሁⶮ	U+1201 U+2DAE
ሁⶰ	U+1201 U+2DB0
ሁⶱ	U+1201 U+2DB1
ሁⶲ	U+1201 U+2DB2
ሁⶳ	U+1201 U+2DB3
ሁⶴ	U+1201 U+2DB4
ሁⶵ	U+1201 U+2DB5
ሁⶶ	U+1201 U+2DB6
ሁⶸ	U+1201 U+2DB8
ሁⶹ	U+1201 U+2DB9
ሁⶺ	U+1201 U+2DBA
ሁⶻ	U+1201 U+2DBB
ሁⶼ	U+1201 U+2DBC
ሁⶽ	U+1201 U+2DBD
ሁⶾ	U+1201 U+2DBE
ሁⷀ	U+1201 U+2DC0
ሁⷁ	U+1201 U+2DC1
ሁⷂ	U+1201 U+2DC2
ሁⷄ	U+1201 U+2DC4
ሁⷅ	U+1201 U+2DC5
ሁⷆ	U+1201 U+2DC6
ሁⷘ	U+1201 U+2DD8
ሁⷙ	U+1201 U+2DD9
ሁⷚ	U+1201 U+2DDA
ሁⷛ	U+1201 U+2DDB
ሁⷜ	U+1201 U+2DDC
ሁⷝ	U+1201 U+2DDD
ሁⷞ	U+1201 U+2DDE
ሁꬁ	U+1201 U+AB01
ሁꬂ	U+1201 U+AB02
ሁꬃ	U+1201 U+AB03
ሁꬄ	U+1201 U+AB04
ሁꬅ	U+1201 U+AB05
ሁꬆ	U+1201 U+AB06
ሁꬉ	U+1201 U+AB09
ሁꬊ	U+1201 U+AB0A
ሁꬋ	U+1201 U+AB0B
ሁꬌ	U+1201 U+AB0C
ሁꬕ	U+1201 U+AB15
ሁꬠ	U+1201 U+AB20
ሁꬡ	U+1201 U+AB21
ሁꬢ	U+1201 U+AB22
ሁꬣ	U+1201 U+AB23
ሁꬤ	U+1201 U+AB24
ሁꬥ	U+1201 U+AB25
ሁꬦ	U+1201 U+AB26
ሁ𞟠	U+1201 U+1E7E0
ሁ𞟡	U+1201 U+1E7E1
ሁ𞟢	U+1201 U+1E7E2
ሁ𞟣	U+1201 U+1E7E3
ሁ𞟤	U+1201 U+1E7E4
