ሐብ	U+1210 U+1265
ሐተ	U+1210 U+1270
ሐቱ	U+1210 U+1271
ሐቴ	U+1210 U+1274
ሐት	U+1210 U+1275
ሐቶ	U+1210 U+1276
ሐቸ	U+1210 U+1278
ሐች	U+1210 U+127D
ሐኅ	U+1210 U+1285
ሐነ	U+1210 U+1290
ሐኑ	U+1210 U+1291
ሐና	U+1210 U+1293
ሐን	U+1210 U+1295
ሐኖ	U+1210 U+1296
ሐኘ	U+1210 U+1298
ሐኙ	U+1210 U+1299
ሐኝ	U+1210 U+129D
ሐከ	U+1210 U+12A8
ሐካ	U+1210 U+12AB
ሐኬ	U+1210 U+12AC
ሐክ	U+1210 U+12AD
ሐኮ	U+1210 U+12AE
ሐወ	U+1210 U+12C8
ሐዊ	U+1210 U+12CA
ሐዋ	U+1210 U+12CB
ሐው	U+1210 U+12CD
ሐዓ	U+1210 U+12D3
ሐየ	U+1210 U+12E8
ሐዮ	U+1210 U+12EE
ሐዱ	U+1210 U+12F1
ሐዲ	U+1210 U+12F2
ሐዳ	U+1210 U+12F3
ሐጂ	U+1210 U+1302
ሐገ	U+1210 U+1308
ሐጉ	U+1210 U+1309
ሐጊ	U+1210 U+130A
ሐግ	U+1210 U+130D
ሐጎ	U+1210 U+130E
ሐጣ	U+1210 U+1323
ሐጥ	U+1210 U+1325
ሐጭ	U+1210 U+132D
ሐጻ	U+1210 U+133B
ሐፉ	U+1210 U+1349
ሐፍ	U+1210 U+134D
ሐ፡	U+1210 U+1361
ሐ።	U+1210 U+1362
ሐ፣	U+1210 U+1363
ሐ፦	U+1210 U+1366
ሔላ	U+1214 U+120B
ሔሐ	U+1214 U+1210
ሔሔ	U+1214 U+1214
ሔሚ	U+1214 U+121A
ሔማ	U+1214 U+121B
ሔሜ	U+1214 U+121C
ሔሞ	U+1214 U+121E
ሔሟ	U+1214 U+121F
ሔሩ	U+1214 U+1229
ሔቀ	U+1214 U+1240
ሔቁ	U+1214 U+1241
ሔቅ	U+1214 U+1245
ሔብ	U+1214 U+1265
ሔተ	U+1214 U+1270
ሔቱ	U+1214 U+1271
ሔቴ	U+1214 U+1274
ሔት	U+1214 U+1275
ሔቶ	U+1214 U+1276
ሔቸ	U+1214 U+1278
ሔች	U+1214 U+127D
ሔኅ	U+1214 U+1285
ሔነ	U+1214 U+1290
ሔኑ	U+1214 U+1291
ሔና	U+1214 U+1293
ሔን	U+1214 U+1295
ሔኖ	U+1214 U+1296
ሔኘ	U+1214 U+1298
ሔኙ	U+1214 U+1299
ሔኝ	U+1214 U+129D
ሔከ	U+1214 U+12A8
ሔካ	U+1214 U+12AB
ሔኬ	U+1214 U+12AC
ሔክ	U+1214 U+12AD
ሔኮ	U+1214 U+12AE
ሔዊ	U+1214 U+12CA
ሔዋ	U+1214 U+12CB
ሔዓ	U+1214 U+12D3
ሔየ	U+1214 U+12E8
ሔዮ	U+1214 U+12EE
ሔገ	U+1214 U+1308
ሔጉ	U+1214 U+1309
ሔጊ	U+1214 U+130A
ሔግ	U+1214 U+130D
ሔጎ	U+1214 U+130E
ሔጠ	U+1214 U+1320
ሔጣ	U+1214 U+1323
ሔጥ	U+1214 U+1325
ሔጨ	U+1214 U+1328
ሔጭ	U+1214 U+132D
ሔፉ	U+1214 U+1349
ሔ፡	U+1214 U+1361
ሔ፣	U+1214 U+1363
ሕህ	U+1215 U+1205
ሕላ	U+1215 U+120B
ሕመ	U+1215 U+1218
ሕሙ	U+1215 U+1219
ሕሚ	U+1215 U+121A
ሕማ	U+1215 U+121B
ሕሜ	U+1215 U+121C
ሕም	U+1215 U+121D
ሕሞ	U+1215 U+121E
ሕሟ	U+1215 U+121F
ሕሥ	U+1215 U+1225
ሕሩ	U+1215 U+1229
ሕሳ	U+1215 U+1233
ሕሸ	U+1215 U+1238
ሕሻ	U+1215 U+123B
ሕሽ	U+1215 U+123D
ሕቀ	U+1215 U+1240
ሕቁ	U+1215 U+1241
ሕቅ	U+1215 U+1245
ሕባ	U+1215 U+1263
ሕብ	U+1215 U+1265
ሕተ	U+1215 U+1270
ሕቱ	U+1215 U+1271
ሕቴ	U+1215 U+1274
ሕት	U+1215 U+1275
ሕቶ	U+1215 U+1276
ሕቸ	U+1215 U+1278
ሕች	U+1215 U+127D
ሕኅ	U+1215 U+1285
ሕነ	U+1215 U+1290
ሕኑ	U+1215 U+1291
ሕና	U+1215 U+1293
ሕን	U+1215 U+1295
ሕኖ	U+1215 U+1296
ሕኘ	U+1215 U+1298
ሕኙ	U+1215 U+1299
ሕኝ	U+1215 U+129D
ሕከ	U+1215 U+12A8
ሕካ	U+1215 U+12AB
ሕኬ	U+1215 U+12AC
ሕክ	U+1215 U+12AD
ሕኮ	U+1215 U+12AE
ሕወ	U+1215 U+12C8
ሕዊ	U+1215 U+12CA
ሕዋ	U+1215 U+12CB
ሕው	U+1215 U+12CD
ሕዓ	U+1215 U+12D3
ሕየ	U+1215 U+12E8
ሕዮ	U+1215 U+12EE
ሕዱ	U+1215 U+12F1
ሕዲ	U+1215 U+12F2
ሕዳ	U+1215 U+12F3
ሕጂ	U+1215 U+1302
ሕገ	U+1215 U+1308
ሕጉ	U+1215 U+1309
ሕጊ	U+1215 U+130A
ሕግ	U+1215 U+130D
ሕጎ	U+1215 U+130E
ሕጣ	U+1215 U+1323
ሕጥ	U+1215 U+1325
ሕጭ	U+1215 U+132D
ሕጻ	U+1215 U+133B
ሕፉ	U+1215 U+1349
ሕፍ	U+1215 U+134D
ሕ፡	U+1215 U+1361
ሕ።	U+1215 U+1362
ሕ፣	U+1215 U+1363
ሕ፦	U+1215 U+1366
መሐ	U+1218 U+1210
መሔ	U+1218 U+1214
መሕ	U+1218 U+1215
መሥ	U+1218 U+1225
መረ	U+1218 U+1228
መሪ	U+1218 U+122A
መራ	U+1218 U+122B
መሯ	U+1218 U+122F
መቃ	U+1218 U+1243
መታ	U+1218 U+1273
መአ	U+1218 U+12A0
መኢ	U+1218 U+12A2
መእ	U+1218 U+12A5
መዶ	U+1218 U+12F6
መጂ	U+1218 U+1302
መጆ	U+1218 U+1306
መጋ	U+1218 U+130B
መጠ	U+1218 U+1320
መጨ	U+1218 U+1328
መጭ	U+1218 U+132D
መፈ	U+1218 U+1348
መፊ	U+1218 U+134A
መ፡	U+1218 U+1361
መ፣	U+1218 U+1363
ሙሀ	U+1219 U+1200
ሙሁ	U+1219 U+1201
ሙሆ	U+1219 U+1206
ሙሐ	U+1219 U+1210
ሙሔ	U+1219 U+1214
ሙሥ	U+1219 U+1225
ሙረ	U+1219 U+1228
ሙሪ	U+1219 U+122A
ሙራ	U+1219 U+122B
ሙሯ	U+1219 U+122F
ሙቃ	U+1219 U+1243
ሙታ	U+1219 U+1273
ሙኘ	U+1219 U+1298
ሙኙ	U+1219 U+1299
ሙአ	U+1219 U+12A0
ሙኢ	U+1219 U+12A2
ሙእ	U+1219 U+12A5
ሙዱ	U+1219 U+12F1
ሙዲ	U+1219 U+12F2
ሙዳ	U+1219 U+12F3
ሙጂ	U+1219 U+1302
ሙጋ	U+1219 U+130B
ሙጠ	U+1219 U+1320
ሙጨ	U+1219 U+1328
ሙጭ	U+1219 U+132D
ሙጵ	U+1219 U+1335
ሙፈ	U+1219 U+1348
ሙፊ	U+1219 U+134A
ሙ፡	U+1219 U+1361
ሙ፣	U+1219 U+1363
ሚሀ	U+121A U+1200
ሚሁ	U+121A U+1201
ሚሆ	U+121A U+1206
ሚላ	U+121A U+120B
ሚሚ	U+121A U+121A
ሚማ	U+121A U+121B
ሚሜ	U+121A U+121C
ሚሞ	U+121A U+121E
